Date,Open,High,Low,Close,Volume,Ticker
2014-01-02,17.27207934571193,17.314040813918734,17.15831625768485,17.19281768798828,234684800.0,AAPL
2014-01-03,17.184430129965723,17.210538608309623,16.798070134473118,16.815166473388672,392467600.0,AAPL
2014-01-06,16.70544425881098,16.996067088352163,16.5857748631176,16.9068603515625,412610800.0,AAPL
2014-01-07,16.9189856881254,16.969960973392336,16.720056247571357,16.785951614379883,317209200.0,AAPL
2014-01-08,16.747717667897085,16.957526739270875,16.74398930769497,16.892253875732422,258529600.0,AAPL
2014-01-09,16.996068563643938,16.99793440373875,16.640171185559247,16.676538467407227,279148800.0,AAPL
2014-01-10,16.77942563337821,16.80957622152414,16.508384080149607,16.565265655517578,304976000.0,AAPL
2014-01-13,16.471079550557626,16.86241123422004,16.47014663064425,16.651981353759766,378492800.0,AAPL
2014-01-14,16.729379151997954,16.993893518512202,16.711972391569272,16.983325958251953,332561600.0,AAPL
2014-01-15,17.204945354350272,17.41257815259254,17.147130874839704,17.324302673339844,391638800.0,AAPL
2014-01-16,17.247845926385388,17.30845752756304,17.147757851414685,17.227642059326172,229278000.0,AAPL
2014-01-17,17.141536114261942,17.159874133506943,16.78159666908109,16.805530548095703,426739600.0,AAPL
2014-01-20,,,,,,AAPL
2014-01-21,16.815479684040415,17.097711252976765,16.797762502223925,17.06662940979004,328526800.0,AAPL
2014-01-22,17.123817401217625,17.322124295290816,17.027461053815337,17.142467498779297,379985200.0,AAPL
2014-01-23,17.093672079566133,17.297574895585196,16.93421743139876,17.287628173828125,403239200.0,AAPL
2014-01-24,17.219866174755026,17.270220621348397,16.932350817108006,16.97338104248047,429354800.0,AAPL
2014-01-27,17.097711693266074,17.244732932125714,16.963434276041188,17.11107635498047,554878800.0,AAPL
2014-01-28,15.81368113290404,16.007637211950534,15.605736232483844,15.74343490600586,1065523200.0,AAPL
2014-01-29,15.664173306369724,15.770476397406894,15.498501969168508,15.56470775604248,502810000.0,AAPL
2014-01-30,15.620346152373225,15.743435166497203,15.438823471544213,15.534557342529297,678501600.0,AAPL
2014-01-31,15.391576800197504,15.588952486103745,15.340911933547568,15.56004524230957,464797200.0,AAPL
2014-02-03,15.622520336556455,15.781664533669058,15.519636858423096,15.588950157165527,401464000.0,AAPL
2014-02-04,15.723229379662362,15.835438750650216,15.627183430257274,15.81461238861084,376681200.0,AAPL
2014-02-05,15.745296030664589,16.0163374846827,15.735659731588315,15.932724952697754,328344800.0,AAPL
2014-02-06,15.948990175651392,16.056555814257774,15.87863406865241,16.025598526000977,257765200.0,AAPL
2014-02-07,16.302951428159982,16.35141799806634,16.17787651678465,16.249794006347656,370280400.0,AAPL
2014-02-10,16.217897558540727,16.63471200380947,16.19726048501627,16.540904998779297,345559200.0,AAPL
2014-02-11,16.591562770983778,16.814821598498913,16.55685313973979,16.758852005004883,282256800.0,AAPL
2014-02-12,16.78980503092832,16.871416487606744,16.67379789637947,16.757596969604492,308100800.0,AAPL
2014-02-13,16.71819874298062,17.036829278894725,16.703815581171494,17.023696899414062,307398000.0,AAPL
