Ticker,Date,Horizon,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast
^NSEI,2023-12-20,7,21150.150390625,21463.481015443784,19662.247731277304,21464.63697908939,
^NSEI,2023-12-21,7,21255.05078125,21491.50854013758,19661.954437870118,21491.63807406428,
^NSEI,2023-12-22,7,21349.400390625,21510.01483809959,19641.1629020875,21515.396387982702,
^NSEI,2023-12-26,7,21441.349609375,21508.72857259627,19658.79708746229,21516.186617988988,
^NSEI,2023-12-27,7,21654.75,21511.37320857172,19656.11155139143,21516.517503892897,
^NSEI,2023-12-28,7,21778.69921875,21513.094320136217,19637.541159088283,21527.786941459315,
^NSEI,2023-12-29,7,21731.400390625,21515.76252961873,19648.84709763525,21537.64832452986,
